Pin Code,Location
302001 ,"Ashoknagar,Bhura Tiba,C.P.m.g,Chandpole Bazar,Indra Bazar,Jaipur.,M.I.road,Purani Basti,Rajasthan State hotel"
302002 ,"Amer Road,Govind Nagar,Kishanpole Bazar,Shivaji Nagar,Tripolia Bazar"
302003 ,"Haldiyon Ka rasta,Jaipur City,Krishi Upaj mandi,R.A.c.,Ramganj Bazar"
302004 ,"Arjun Lal sethi nagar,Janta Colony,Jawahar Nagar,Jhalana Doongri,Krishna Mandir,Moti Doongari road,Raja Park colony,Rajasthan University,S.M.s.hospital,Tilak Nagar"
302005 ,"A.G.office,High Court,Legislative Assembly,N.C.r.building,Rajasthan Secretariate,Vidyut Bhawan,Vitta Bhawan"
302006 ,"Ajmer Road,Industrial Estate,Jaipur R.s.,Khatipura Road,P.W.d.office,Raj Bhawan,Station Road"
302011 ,Airport Sanganer
302012 ,"Bindayaka,Dhankya,Jhotwara,Jhotwara Industrial area,Khatipura,Khora Bisal,Meena Wala,Mundia Rampura,Nangal Jaisabohra,Neemera,Neendar Banar,Niwaroo,Rojda,Sinwar,Sirsi"
302013 ,"Akhepura,Murlipura,Neendar,Road No-5 vkia,Vishwakarma Industrial area"
302015 ,"Bajaj Nagar,Bapu Nagar,Barkat Nagar,Gandhi Nagar,Rampura Roopa,S.D.m.hospitial"
302016 ,"Bani Park,Collectorate,Dwarikapuri,Shastri Nagar,Sindhi Colony"
302017 ,"Malviya Industrial area,Malviya Nagar,Mrec Jaipur,Sector 11,12 malviya nagar"
302018 ,"Amer Clark hotel,Durgapura"
302019 ,Shyam Nagar
302020 ,"Mansarovar,S.F.s.mansarovar"
302021 ,Vaishali Nagar
302022 ,Sitapura Industrial area
302023 ,"Amba Bari,Dehar Ka balaji,Vidhyadhar Nagar"
302024 ,Heerapura
302025 ,Jagatpura
302026 ,"Bhambhoria,Bhankrota,Jaisinghpura Bas,Mukandpura,Thikariya"
302027 ,"Crpf Campus  lalwas,Indergarh,Jaisingh Pura khor,Langareeyawas,Rahori,Roop Was,Saipura,Saiwar"
302028 ,"Amer,Basna,Bhanpur Kalan,Bilod,Dhand,Khora Meena,Kookas,Nangal Soosawatan,Natata,Toda Meena"
302029 ,"Kalwara,Lakhana,Mahapura,Muhana,Neota,Sanganer Bazar"
302032 ,Harmada
302033 ,"Pratap Nagar housing board,Sector-11 Pratap nagar"
303001 ,"Andhi,Bhawani,Birsana,Dangaarwara,Footalo,Raipur,Sankotra,Tholai"
303002 ,"Achrol,Jaitpura Khinchi,Kali Pahadi,Labana,Rajpurawas Tala"
303003 ,"Bhamod,Jodhula,Med,Naurangpura,Paldi,Talba Bihajar,Teori"
303005 ,"Chakwada,Choru,Ghatiyali,Kishorpura,Kudli,Ladana,Lasadiya,Mandawari,Mandi,Mehandwas,Narera,Nimera,Pachala,Parwan,Phagi"
303006 ,"Bichi,Chandamakalan,Dabach,Didawata,Dosara,Jhardla,Madhorajpura"
303007 ,"Ajairajpura,Awania,Bagru,Begas,Dehmi Kalan,Gadota,Mahlan,Rampura Unti"
303008 ,"Dantri,Dhandholi,Dudu,Gagardoo,Gehlota,Khudiyala,Ladera,Nanan,Rasili,Rehlana,Sakhoon,Sali,Sewa,Sinodia,Sirohi Kalan"
303009 ,"Dhamana,Gangoti Kalan,Jhag,Kansel,Mandore,Mozmabad,Sanwali"
303010 ,Bichoon
303012 ,"Burthal,Dantli,Faliawas,Jeetawal,Kanota,Kunthada Khurd,Nayla,Papad,Sumel"
303102 ,"Beelwadi,Chhitoli,Kuthada,Sothana,Virat Nagar"
303103 ,"Badi Jori,Badodia,Bidara,Chhapra Kalan (shahpura),Chhapra Khurd,Devan,Devipura,Ghasipura,Jaje Kalan,Kant,Khori,Let Ka bas,Nathawala,Nithara,Saiwad,Shahpura"
303104 ,"Bishangarh,Chandwaji,Chitanu Kalan,Dev Ka harwada,Lakher,Manoharpur,Nawalpura,Sirohi,Veelpur"
303105 ,"Banar,Banethi,Beri,Chhardera,Chimanpura,Deota,Kalyanpura Kalan,Kharab,Nareda,Purshottampura,Raikaranpura,Sarund,Suklawas"
303106 ,"Barnagar,Bhonawas,Buchara,Fatehpura Khurd,Khelana,Panditpura,Paota(jaipur),Rampura,Taskola,Torda Kalan"
303107 ,"Bhainslana,Bhuri Baraja,Dantil,Dwarikapura,Jodhpura,Pathredi,Pragpura,Suderpura Dhadha,Sujatnagar"
303108 ,"Chaturbhuj,Gonera,Gopalpura,Goverdhanpura,Kalyanpura,Kansli,Keshwana,Kotputli,Kotputli Bazar,Kujota,Molaheda,Mordha,Nangal Panditpura,Paniyala,Pawana,Ramsinghpura,Sangteda,Sunderpura"
303109 ,"Bandha Jamwaramgarh,Booj,Jamwaramgarh,Kharkara,Khawa,Lalwas,Mahangi,Manota,Mathasula,Raisar,Samred Kalan"
303110 ,"Bhalloji,Bhankari,Karoli,Mandha,Panchudala,Rajnauta"
303119 ,"Antela,Bagawas Ahiran,Bagawas Choriyasi,Bajrangpura,Bhabroo,Jawanpura,Luhakna Khurd"
303120 ,"Amloda,Behlod,Bobadi,Chharsa,Dantala Meena,Dhola,Gathwadi,Jaichandpura,Kanwarpura,Khora Lad khani,Surana,Tala"
303301 ,"Bassi,Benada,Chanwandia,Deogaon,Doodhali,Kacholiya,Lalgarh,Manoharpura,Mansar Khedi,Palawalan Jatan,Toda Bhata"
303302 ,"Bas Badwa,Danau Kalan,Garh,Hemlyawala,Toonga"
303305 ,"Badwa,Dharampura,Dhula,Jatwara,Jhajwar,Jhar,Newar,Padasoli,Rajpura"
303328 ,"Bhadwa,Bhaislana,Bhojpura,Dhani Boraj,Dheendha,Hingonia,Jobner,Jorpura,Jorpura Sundariawas,Kalakh,Kodi,Mundoti,Sinodiya"
303329 ,A C jobner
303331 ,Asalpur
303338 ,"Akoda,Bobas,Boraj,Gudha Bersal,Hirnoda,Kachroda,Malyawas,Phulera,Phulera Bazar,Rojdi,Shardulpura,Teja Ka bas,Ugariwas"
303339 ,Manda Bhim singh
303348 ,"Chainpura,Gidhani,Mamana,Marwa,Naraina,Sanwarda,Srirampura"
303601 ,"Amarsar,Hanutia,Hanutpura,Markhi,Nayan,Radawas"
303602 ,"Astikalan,Badhal,Deva Ka bas,Gudhaliya,Itawa,Kishanpura,Luniawas,Nangal Govind,Turkyawas"
303603 ,"Bagawas,Baseri Khurd,Bhainsawa,Doongri Khurd,Doongrikalan,Harsoli,Karansar,Khedi Milk,Kishangarh Renwal,Lalasar,Mundiagaarh,Ramjipura,Renwal,Surmalikpur"
303604 ,"Habaspura,Kazipura,Khandel,Korsina,Mokhampura,Salt Colony,Sambhar Lake,Tyod"
303701 ,"Bhato Ki gali,Chatarpura,Deogudha,Jahota,Jairampura,Jalsu,Kanipura,Nangal Ladi,Punana,Radahkishanpura,Raghunathpura"
303702 ,"Chomu,Hadota,Khadi Bagh,Sirsali,Tankarda"
303704 ,"Bhurthal,Chetawala,Jaitpura I a,Khore Shyamdas,Nangal Purohit,Rambura Dabari"
303706 ,"Bassi Naga,Bhamori,Durjania Was,Hathod,Kalwad,Machwa,Mundota,Pachar"
303712 ,"Anantpura,Bhutera,Dhoblai,Dhodsar,Govindgarh,Hasteda,Malikpur,Manda Bhinda,Nangal Turkan"
303801 ,"Alisar,Chinoi,Dhola Ka bas,Jaisinghpura,Kaladera,Kanarpura,Naupura,Pratapura,Raithal,Sandarsar"
303802 ,Tripolia Chomu
303803 ,"Bilanderpur,Govindpura Baseri,Kariri,Khejroli,Singot Kalan,Singot Khurd"
303804 ,"Amarpura,Charanwas,Dhanota,Etwa Bhopji,Nangal Koju,Niwana,Raopura,Tigaria"
303805 ,"Bagwara,Bilochi,Cheethwari,Chonp,Daulatpura,Manpura Machedi,Morija,Rundal,Sewapura"
303806 ,"Bansa,Dholi,Gulab Bari,Jatanwali,Mahar Kalan,Mahar Khurd,Naya Bas,Samod,Shivsinghpura"
303807 ,"Bhopawa,Hathnoda,Loharwada,Nangal Bharda,Udaipuria"
303901 ,"Akodiya,Chaksu,Chhandel Kalan,Garwasi,Kadera,Kareda Khurd,Kothoon,Malpuria,Mandlia Meda,Nimodiya,Sanwalia,Sawai Madhosinghpura,Shaakar Khawda,Silki Doongari,Tamariya,Thali,Thoomli Ka bas"
303903 ,"Badapadampura,Beelwa,Chandlai,Khajalpura,Khijuria Brahmin,Kumariawas,Sambharia,Shivdaspura,Teetaria,Toontoli,Yaarlipura"
303904 ,"Chittora,Chittora Renwal,Dabla Kalan,Gohandi,Harsulia,Mohabatpura,Pahandia,Panwalia,Peepla"
303905 ,"Dadiya,Goner,Mohanpura,Sriram Ki nangal,Vidhani,Watika"
303908 ,"Achalpura,Arp Dhelana,Barodiya,Jhapda Kalan,Kashipura,Khera Raniwas,Kotkhawada,Radoli,Ramnagar,Roopa Hedi kalan,Roopahedi Khurd,Theekariya Gujran,Theekariya Meena"
