,Pin Code,Location,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
0,302001,"Ashoknagar,Bhura Tiba,C.P.m.g,Chandpole Bazar,Indra Bazar,Jaipur.,M.I.road,Purani Basti,Rajasthan State hotel",26.930038198008976,75.80509179210249,2,1,0,6,3,5,4,0,16,8
1,302002,"Amer Road,Govind Nagar,Kishanpole Bazar,Shivaji Nagar,Tripolia Bazar",26.942590714000062,75.83860000000004,1,0,0,11,0,1,8,0,9,9
2,302003,"Haldiyon Ka rasta,Jaipur City,Krishi Upaj mandi,R.A.c.,Ramganj Bazar",26.91063500000007,75.84966227600006,1,0,0,0,0,1,3,0,3,1
3,302004,"Arjun Lal sethi nagar,Janta Colony,Jawahar Nagar,Jhalana Doongri,Krishna Mandir,Moti Doongari road,Raja Park colony,Rajasthan University,S.M.s.hospital,Tilak Nagar",26.887956048000035,75.83186000000006,2,5,2,6,5,6,6,3,2,8
4,302005,"A.G.office,High Court,Legislative Assembly,N.C.r.building,Rajasthan Secretariate,Vidyut Bhawan,Vitta Bhawan",26.89951074700008,75.79193500000008,4,1,0,21,4,3,9,3,9,8
5,302006,"Ajmer Road,Industrial Estate,Jaipur R.s.,Khatipura Road,P.W.d.office,Raj Bhawan,Station Road",26.91469472400007,75.77727000000004,2,3,1,4,3,1,9,1,8,5
6,302011,Airport Sanganer,26.925730000000044,75.80659000000003,3,2,0,4,2,5,8,0,1,12
7,302012,"Bindayaka,Dhankya,Jhotwara,Jhotwara Industrial area,Khatipura,Khora Bisal,Meena Wala,Mundia Rampura,Nangal Jaisabohra,Neemera,Neendar Banar,Niwaroo,Rojda,Sinwar,Sirsi",26.960270000000037,75.66582122300008,0,0,0,0,0,0,0,0,0,0
8,302013,"Akhepura,Murlipura,Neendar,Road No-5 vkia,Vishwakarma Industrial area",27.044835000000035,75.80582090400003,0,0,0,2,0,0,0,0,0,0
9,302015,"Bajaj Nagar,Bapu Nagar,Barkat Nagar,Gandhi Nagar,Rampura Roopa,S.D.m.hospitial",26.890573800000027,75.79772500000007,3,3,1,12,4,1,12,1,3,3
10,302016,"Bani Park,Collectorate,Dwarikapuri,Shastri Nagar,Sindhi Colony",26.939149388000033,75.79365000000007,1,5,1,5,5,3,17,1,20,6
11,302017,"Malviya Industrial area,Malviya Nagar,Mrec Jaipur,Sector 11,12 malviya nagar",26.83753500000006,75.84306881700007,0,0,0,0,0,1,2,1,4,1
12,302018,"Amer Clark hotel,Durgapura",26.855660000000057,75.80375100000003,4,4,0,18,3,4,3,4,14,0
13,302019,Shyam Nagar,26.887180000000058,75.76112278200003,1,4,0,7,5,2,7,2,14,6
14,302020,"Mansarovar,S.F.s.mansarovar",26.850430000000074,75.75422102300007,0,0,0,1,0,0,2,0,1,0
15,302021,Vaishali Nagar,26.907973437000066,75.73426000000006,2,4,1,5,2,5,16,0,1,3
16,302022,Sitapura Industrial area,26.73490712100005,75.85837000000004,0,0,0,0,0,0,0,0,0,0
17,302023,"Amba Bari,Dehar Ka balaji,Vidhyadhar Nagar",26.925730000000044,75.80659000000003,3,2,0,4,2,5,8,0,1,12
18,302024,Heerapura,26.88265000000007,75.72597835600004,0,3,0,2,0,0,2,0,4,1
19,302025,Jagatpura,26.925730000000044,75.80659000000003,3,2,0,4,2,5,8,0,1,12
20,302026,"Bhambhoria,Bhankrota,Jaisinghpura Bas,Mukandpura,Thikariya",26.843485000000044,75.64410060200004,0,0,0,0,0,0,0,0,0,0
21,302027,"Crpf Campus  lalwas,Indergarh,Jaisingh Pura khor,Langareeyawas,Rahori,Roop Was,Saipura,Saiwar",26.97820500000006,75.97575804100006,0,0,0,0,0,0,0,0,0,0
22,302028,"Amer,Basna,Bhanpur Kalan,Bilod,Dhand,Khora Meena,Kookas,Nangal Soosawatan,Natata,Toda Meena",26.991700000000037,75.88563319000008,1,1,0,0,0,0,0,1,1,1
23,302029,"Kalwara,Lakhana,Mahapura,Muhana,Neota,Sanganer Bazar",26.785010000000057,75.65884962700005,0,0,0,0,0,0,0,0,0,0
24,302032,Harmada,26.925730000000044,75.80659000000003,3,2,0,4,2,5,8,0,1,12
25,302033,"Pratap Nagar housing board,Sector-11 Pratap nagar",26.806965000000048,75.82659652100006,0,3,0,4,0,0,2,1,5,1
